"Label (Grouping)","Arizona!!Estimate","Florida!!Estimate","Georgia!!Estimate","Illinois!!Estimate","Michigan!!Estimate","North Carolina!!Estimate","Ohio!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Virginia!!Estimate"
"Total:","4,241,669","12,210,739","5,602,328","7,770,962","7,438,013","6,587,453","9,110,505","5,097,360","14,129,750","5,251,112"
"    Male:","2,110,162","6,022,787","2,773,929","3,846,477","3,702,945","3,241,871","4,496,898","2,506,559","7,033,907","2,614,659"
"        Under 5 years","93,920","252,989","136,624","191,382","180,602","154,467","233,690","130,599","393,491","127,120"
"        5 to 9 years","106,585","268,120","148,138","211,850","197,824","163,580","254,065","143,343","445,560","140,124"
"        10 to 14 years","107,119","308,464","178,817","215,209","214,602","187,721","267,566","144,002","461,009","152,009"
"        15 to 17 years","68,816","182,836","106,761","141,503","136,118","116,602","170,331","90,631","273,753","88,824"
"        18 and 19 years","47,019","121,513","74,372","95,803","95,419","81,145","114,242","59,994","179,744","66,808"
"        20 to 24 years","123,516","299,791","178,360","222,615","231,798","211,326","277,900","155,532","441,899","171,589"
"        25 to 29 years","132,802","339,609","176,005","242,573","235,551","204,351","285,024","166,687","468,571","172,601"
"        30 to 34 years","135,406","364,748","180,423","251,228","234,423","209,425","290,322","167,426","492,752","173,136"
"        35 to 44 years","254,702","668,803","347,208","505,323","450,094","398,702","560,933","320,000","953,739","344,159"
"        45 to 54 years","249,730","725,416","370,375","489,111","461,254","425,500","568,600","325,214","861,398","330,477"
"        55 to 64 years","291,206","910,993","391,680","570,741","560,165","469,298","652,180","352,394","911,763","373,497"
"        65 to 74 years","288,660","880,814","304,911","444,689","450,786","388,392","526,193","283,721","722,398","293,527"
"        75 to 84 years","166,955","531,814","140,582","199,439","194,134","184,781","224,287","132,301","334,919","138,937"
"        85 years and over","43,726","166,877","39,673","65,011","60,175","46,581","71,565","34,715","92,911","41,851"
"    Female:","2,131,507","6,187,952","2,828,399","3,924,485","3,735,068","3,345,582","4,613,607","2,590,801","7,095,843","2,636,453"
"        Under 5 years","94,116","245,484","131,654","177,942","173,454","144,316","226,692","123,318","379,986","123,320"
"        5 to 9 years","97,688","260,218","144,827","205,859","185,230","158,292","236,692","131,061","418,691","133,323"
"        10 to 14 years","106,200","282,130","166,966","208,361","205,801","172,106","259,342","142,926","443,020","140,342"
"        15 to 17 years","62,583","170,540","97,144","130,728","128,908","103,768","159,407","88,625","263,338","86,773"
"        18 and 19 years","46,865","116,288","72,849","90,293","85,525","82,693","112,753","57,405","165,221","67,295"
"        20 to 24 years","115,664","295,368","164,552","215,779","227,982","192,842","269,777","152,706","432,333","152,416"
"        25 to 29 years","124,274","327,521","171,734","232,002","223,262","197,819","276,864","163,011","458,145","160,047"
"        30 to 34 years","128,293","354,830","178,724","249,224","226,585","212,825","288,942","167,585","485,990","169,096"
"        35 to 44 years","241,457","656,373","351,208","492,439","437,180","409,487","552,203","321,925","927,794","337,955"
"        45 to 54 years","240,707","712,035","365,438","478,395","450,709","429,451","562,690","327,706","834,732","323,846"
"        55 to 64 years","309,731","956,566","397,030","576,935","565,396","490,111","671,939","370,181","927,862","380,101"
"        65 to 74 years","318,638","980,473","341,603","483,954","481,490","436,610","574,061","318,077","795,284","321,864"
"        75 to 84 years","180,036","595,550","182,964","262,518","237,012","225,820","293,047","164,794","401,688","169,720"
"        85 years and over","65,255","234,576","61,706","120,056","106,534","89,442","129,198","61,481","161,759","70,355"
