"Label (Grouping)","Arizona!!Estimate","Florida!!Estimate","Georgia!!Estimate","Illinois!!Estimate","Michigan!!Estimate","North Carolina!!Estimate","Ohio!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Virginia!!Estimate"
"Total:","5,951,507","18,251,571","8,731,410","10,376,721","8,287,187","8,660,874","9,636,748","5,707,432","23,373,981","7,088,043"
"    Male:","2,955,484","8,907,701","4,207,788","5,092,734","4,074,070","4,184,722","4,709,124","2,766,108","11,592,742","3,473,594"
"        Never married:","1,084,399","3,103,657","1,595,307","1,972,968","1,502,462","1,496,652","1,716,252","937,182","4,192,156","1,251,248"
"            15 to 17 years","147,397","387,007","232,743","258,890","196,593","208,752","233,796","135,721","662,292","164,426"
"            18 and 19 years","96,876","245,603","156,037","172,654","136,683","150,617","157,891","88,943","423,965","120,878"
"            20 to 24 years","227,296","595,649","339,662","386,099","311,255","323,406","356,050","198,474","918,630","271,641"
"            25 to 29 years","183,101","510,460","254,593","338,092","249,188","234,889","278,729","150,481","703,913","206,649"
"            30 to 34 years","130,368","397,657","179,352","219,574","167,425","166,558","191,594","96,764","481,785","147,023"
"            35 to 39 years","82,441","241,353","115,601","152,817","101,427","107,642","122,119","73,610","295,148","93,485"
"            40 to 44 years","58,716","189,954","84,223","100,962","73,883","73,156","84,064","51,345","206,929","68,086"
"            45 to 49 years","38,514","121,806","60,249","78,699","57,653","57,576","64,750","33,354","129,188","44,213"
"            50 to 54 years","33,035","115,563","53,410","71,111","54,497","51,757","62,381","29,186","113,229","36,993"
"            55 to 59 years","31,787","100,329","45,060","63,617","52,427","44,846","51,270","30,150","94,059","33,366"
"            60 to 64 years","22,462","81,028","31,592","53,671","41,750","36,406","51,794","22,610","74,633","29,170"
"            65 to 74 years","23,864","85,267","33,697","56,741","45,961","31,069","46,942","21,638","67,776","26,188"
"            75 to 84 years","6,416","25,483","7,305","16,344","10,534","8,449","12,175","4,107","16,195","7,343"
"            85 years and over","2,126","6,498","1,783","3,697","3,186","1,529","2,697","799","4,414","1,787"
"        Now married:","1,504,765","4,577,783","2,112,615","2,564,563","2,042,235","2,191,500","2,345,407","1,447,562","6,147,780","1,842,798"
"            Married, spouse present:","1,384,172","4,149,559","1,942,752","2,375,270","1,919,928","2,017,698","2,199,890","1,336,294","5,574,003","1,690,794"
"                15 to 17 years","241","225","445","272","34","136","0","0","319","0"
"                18 and 19 years","414","749","318","350","877","542","223","154","2,653","451"
"                20 to 24 years","17,075","20,923","21,313","12,008","14,637","28,326","17,148","17,893","77,879","18,052"
"                25 to 29 years","59,853","116,108","85,737","70,584","73,171","83,023","91,346","68,984","277,493","68,315"
"                30 to 34 years","99,993","252,374","149,123","177,978","139,676","144,859","165,578","103,378","502,567","124,060"
"                35 to 39 years","126,356","334,472","190,421","238,801","162,876","181,470","211,649","120,581","618,682","163,100"
"                40 to 44 years","131,706","372,127","195,874","253,282","178,887","200,601","206,609","122,589","643,920","176,499"
"                45 to 49 years","128,755","393,353","203,151","240,504","173,411","197,169","204,853","127,849","602,559","169,812"
"                50 to 54 years","131,304","410,494","217,525","255,864","199,642","215,592","222,300","137,859","587,734","184,972"
"                55 to 59 years","122,541","433,083","206,878","261,197","207,974","205,041","231,254","132,809","545,742","179,478"
"                60 to 64 years","139,994","439,251","203,554","261,341","220,865","211,607","248,517","147,522","531,502","179,813"
"                65 to 74 years","254,734","803,058","312,606","393,957","360,598","360,328","401,574","231,205","782,351","277,315"
"                75 to 84 years","141,866","460,695","129,140","169,002","153,815","158,757","161,154","104,783","331,003","122,393"
"                85 years and over","29,340","112,647","26,667","40,130","33,465","30,247","37,685","20,688","69,599","26,534"
"            Married, spouse absent:","120,593","428,224","169,863","189,293","122,307","173,802","145,517","111,268","573,777","152,004"
"                Separated:","41,019","153,372","67,354","69,279","42,981","80,683","65,573","46,458","203,086","57,931"
"                    15 to 17 years","120","436","102","75","42","228","26","163","740","68"
"                    18 and 19 years","0","88","0","34","0","120","0","65","544","220"
"                    20 to 24 years","876","1,786","1,963","559","435","827","477","196","3,037","1,210"
"                    25 to 29 years","1,699","5,218","2,526","1,748","1,212","4,360","4,377","3,822","12,125","3,081"
"                    30 to 34 years","4,273","10,850","4,074","5,443","2,926","6,647","5,195","5,205","18,728","5,069"
"                    35 to 39 years","5,432","17,338","9,439","6,383","5,645","9,120","6,908","6,275","24,183","6,811"
"                    40 to 44 years","6,060","18,415","9,157","8,633","7,058","13,268","9,136","6,061","24,250","6,976"
"                    45 to 49 years","4,568","14,816","8,618","6,993","3,334","9,685","7,867","5,805","25,556","7,167"
"                    50 to 54 years","5,135","20,562","7,858","8,393","3,985","8,765","8,217","4,633","24,100","6,010"
"                    55 to 59 years","3,860","18,414","8,665","9,028","6,763","9,250","7,439","4,544","24,321","6,532"
"                    60 to 64 years","2,588","14,706","6,345","8,118","4,052","6,897","7,003","3,208","20,614","6,216"
"                    65 to 74 years","4,095","22,591","6,225","8,951","5,798","8,062","6,797","5,209","18,108","6,725"
"                    75 to 84 years","2,154","7,288","1,511","4,650","1,102","2,824","1,567","847","5,183","1,597"
"                    85 years and over","159","864","871","271","629","630","564","425","1,597","249"
"                Other:","79,574","274,852","102,509","120,014","79,326","93,119","79,944","64,810","370,691","94,073"
"                    15 to 17 years","1,053","2,834","514","2,396","1,026","1,910","791","625","4,212","734"
"                    18 and 19 years","940","1,565","2,778","1,142","968","937","645","256","6,612","445"
"                    20 to 24 years","5,077","12,909","5,744","7,134","4,973","7,049","3,462","5,443","25,015","4,327"
"                    25 to 29 years","9,957","21,903","9,284","10,825","7,678","8,008","5,253","7,931","40,024","9,410"
"                    30 to 34 years","9,149","28,018","7,435","11,459","6,727","9,990","7,791","5,545","38,275","9,929"
"                    35 to 39 years","7,118","30,027","13,236","11,937","7,170","8,617","6,043","6,721","47,527","10,442"
"                    40 to 44 years","6,268","26,848","10,537","9,302","7,177","8,190","8,453","5,651","35,963","9,698"
"                    45 to 49 years","5,263","20,880","9,049","9,373","4,236","8,316","6,915","5,587","29,041","7,478"
"                    50 to 54 years","7,225","25,005","9,891","9,267","6,925","7,600","8,664","6,339","30,218","6,960"
"                    55 to 59 years","7,492","19,073","9,453","9,361","6,683","7,182","5,764","5,810","28,265","6,761"
"                    60 to 64 years","6,198","23,515","6,307","12,094","7,148","7,214","7,016","4,377","24,833","8,004"
"                    65 to 74 years","7,770","32,192","11,542","13,602","10,026","10,056","9,928","5,551","34,904","12,568"
"                    75 to 84 years","4,331","20,962","5,233","7,976","5,884","6,114","6,747","3,204","19,325","5,580"
"                    85 years and over","1,733","9,121","1,506","4,146","2,705","1,936","2,472","1,770","6,477","1,737"
"        Widowed:","72,930","268,990","101,367","127,278","113,252","110,952","144,653","85,358","260,895","86,617"
"            15 to 17 years","0","128","0","0","10","0","91","171","0","77"
"            18 and 19 years","0","71","0","256","0","96","125","40","148","0"
"            20 to 24 years","128","165","302","46","107","51","47","188","977","138"
"            25 to 29 years","163","1,131","112","794","181","35","0","619","1,251","169"
"            30 to 34 years","0","2,770","217","594","425","877","1,000","385","1,357","726"
"            35 to 39 years","484","4,515","1,017","467","325","1,435","1,069","1,032","3,249","474"
"            40 to 44 years","933","3,764","1,707","982","692","1,027","2,673","2,354","3,543","929"
"            45 to 49 years","2,217","4,681","2,859","1,425","2,121","3,774","2,143","1,974","8,006","1,545"
"            50 to 54 years","2,638","10,296","4,872","3,610","5,122","3,731","6,293","3,065","11,903","3,230"
"            55 to 59 years","2,345","11,679","6,223","8,458","6,828","7,067","7,370","5,828","16,790","5,961"
"            60 to 64 years","8,064","18,382","12,452","9,954","10,909","12,335","12,312","7,554","24,148","8,438"
"            65 to 74 years","19,609","69,228","27,364","37,164","30,243","31,893","40,563","26,174","76,944","24,624"
"            75 to 84 years","21,590","77,085","26,706","37,821","30,906","29,311","40,191","22,771","70,030","23,980"
"            85 years and over","14,759","65,095","17,536","25,707","25,383","19,320","30,776","13,203","42,549","16,326"
"        Divorced:","293,390","957,271","398,499","427,925","416,121","385,618","502,812","296,006","991,911","292,931"
"            15 to 17 years","67","0","120","0","81","0","0","0","82","206"
"            18 and 19 years","196","0","131","0","23","0","0","355","0","0"
"            20 to 24 years","1,368","614","2,542","1,377","775","2,624","879","1,397","4,400","1,523"
"            25 to 29 years","4,946","12,994","7,152","4,461","5,870","7,648","6,716","5,611","17,113","5,403"
"            30 to 34 years","13,011","30,471","21,254","15,571","17,028","14,484","16,744","13,828","55,654","9,939"
"            35 to 39 years","19,355","56,768","29,484","28,905","26,531","22,502","27,002","22,057","88,196","21,721"
"            40 to 44 years","23,621","73,297","41,239","36,910","35,976","34,315","46,707","29,532","108,164","28,699"
"            45 to 49 years","30,189","95,618","48,355","52,884","43,634","44,330","53,453","33,393","124,919","30,106"
"            50 to 54 years","36,998","113,783","56,462","57,160","53,911","55,855","64,022","42,983","127,644","37,092"
"            55 to 59 years","41,284","129,889","54,662","58,429","60,996","57,815","72,618","38,524","134,023","44,629"
"            60 to 64 years","38,463","148,303","50,346","57,147","63,008","53,428","75,012","38,176","118,820","39,035"
"            65 to 74 years","57,659","194,441","63,514","84,071","78,384","68,829","102,541","53,215","156,267","54,259"
"            75 to 84 years","22,836","81,790","19,911","26,227","25,818","21,253","31,299","14,161","48,472","15,478"
"            85 years and over","3,397","19,303","3,327","4,783","4,086","2,535","5,819","2,774","8,157","4,841"
"    Female:","2,996,023","9,343,870","4,523,622","5,283,987","4,213,117","4,476,152","4,927,624","2,941,324","11,781,239","3,614,449"
"        Never married:","885,401","2,674,389","1,478,392","1,769,564","1,304,272","1,353,018","1,500,974","838,270","3,626,282","1,110,113"
"            15 to 17 years","139,468","364,326","217,758","241,735","188,467","195,374","224,058","132,481","629,422","161,484"
"            18 and 19 years","92,693","235,525","155,125","161,116","126,798","143,504","151,029","88,523","390,888","119,978"
"            20 to 24 years","204,439","547,890","307,055","365,095","295,164","293,571","326,312","183,521","815,485","244,118"
"            25 to 29 years","140,992","423,186","222,281","292,263","199,156","197,454","232,960","129,487","574,881","171,839"
"            30 to 34 years","92,519","305,716","154,834","188,777","133,134","143,592","151,300","84,692","369,340","110,854"
"            35 to 39 years","53,228","194,832","100,469","115,465","81,967","90,935","96,424","56,212","237,311","74,829"
"            40 to 44 years","41,546","145,581","87,989","91,445","66,114","76,440","68,598","40,950","163,308","53,303"
"            45 to 49 years","26,727","97,060","59,184","61,831","42,777","51,219","50,904","27,341","118,413","38,919"
"            50 to 54 years","24,323","90,375","44,669","58,129","39,103","41,348","44,925","24,713","93,806","32,841"
"            55 to 59 years","20,523","76,305","42,332","50,403","36,662","38,394","42,055","21,244","73,221","28,369"
"            60 to 64 years","17,330","73,067","37,556","53,962","38,387","30,233","42,932","20,655","63,321","26,485"
"            65 to 74 years","22,900","77,327","35,795","60,608","37,187","35,191","49,895","19,239","71,512","33,047"
"            75 to 84 years","6,553","32,700","10,458","22,436","14,570","11,859","15,035","6,996","17,256","11,309"
"            85 years and over","2,160","10,499","2,887","6,299","4,786","3,904","4,547","2,216","8,118","2,738"
"        Now married:","1,480,778","4,429,133","2,104,648","2,503,294","2,010,887","2,199,311","2,346,496","1,447,161","5,960,319","1,800,711"
"            Married, spouse present:","1,356,808","4,002,860","1,915,301","2,315,676","1,885,632","2,000,814","2,184,327","1,325,379","5,386,212","1,639,470"
"                15 to 17 years","0","79","0","248","20","68","34","0","345","0"
"                18 and 19 years","1,083","911","1,351","815","689","2,700","198","630","4,078","379"
"                20 to 24 years","23,423","40,830","34,695","23,032","24,604","38,285","31,552","28,803","126,475","24,886"
"                25 to 29 years","82,544","165,081","111,775","105,584","101,140","111,246","118,105","83,494","358,876","84,241"
"                30 to 34 years","117,178","307,425","173,760","200,025","159,580","173,351","195,651","125,459","553,350","146,524"
"                35 to 39 years","132,634","359,994","208,164","258,044","177,386","191,066","215,182","135,885","639,650","182,406"
"                40 to 44 years","128,673","386,103","202,585","250,406","178,592","202,145","216,258","129,547","628,287","173,390"
"                45 to 49 years","129,199","366,878","208,013","236,187","176,779","198,272","204,866","131,030","578,703","163,111"
"                50 to 54 years","126,903","399,858","208,567","248,232","198,512","212,654","226,410","129,569","550,414","177,049"
"                55 to 59 years","124,011","419,880","191,568","249,602","198,790","200,234","229,191","131,673","508,734","170,274"
"                60 to 64 years","140,114","425,142","189,343","243,036","222,847","208,900","239,702","138,415","486,945","173,050"
"                65 to 74 years","235,200","747,777","279,661","349,596","317,106","329,603","358,657","205,871","677,320","237,751"
"                75 to 84 years","102,331","328,933","94,041","128,332","112,073","116,079","126,315","74,558","237,684","92,800"
"                85 years and over","13,515","53,969","11,778","22,537","17,514","16,211","22,206","10,445","35,351","13,609"
"            Married, spouse absent:","123,970","426,273","189,347","187,618","125,255","198,497","162,169","121,782","574,107","161,241"
"                Separated:","46,853","200,802","89,969","84,489","54,310","111,682","82,152","61,527","277,370","75,897"
"                    15 to 17 years","330","434","237","205","633","385","156","180","328","0"
"                    18 and 19 years","0","93","161","194","11","18","0","0","326","0"
"                    20 to 24 years","890","4,214","2,319","1,342","787","2,125","2,144","1,059","5,144","1,243"
"                    25 to 29 years","1,922","10,633","4,213","4,817","4,164","7,076","5,074","5,023","21,375","3,289"
"                    30 to 34 years","4,687","16,658","9,162","8,403","4,382","11,152","8,472","3,708","31,900","6,591"
"                    35 to 39 years","5,401","22,583","12,531","8,472","4,164","11,978","10,702","8,411","35,226","9,207"
"                    40 to 44 years","5,856","27,406","12,487","10,172","6,207","13,172","11,085","8,872","37,279","10,770"
"                    45 to 49 years","5,877","23,097","11,081","11,085","6,560","15,272","9,591","9,315","36,357","9,093"
"                    50 to 54 years","5,545","27,670","10,539","10,368","7,597","15,648","9,995","6,494","30,211","10,448"
"                    55 to 59 years","3,575","22,598","9,219","7,225","6,646","11,191","7,722","6,874","30,171","7,669"
"                    60 to 64 years","5,682","18,729","6,896","11,228","4,088","10,350","7,193","4,426","23,863","7,531"
"                    65 to 74 years","5,433","19,020","8,521","7,498","6,791","10,161","7,845","4,960","18,975","8,168"
"                    75 to 84 years","1,394","6,289","2,172","2,943","1,751","2,627","1,657","1,805","5,295","1,728"
"                    85 years and over","261","1,378","431","537","529","527","516","400","920","160"
"                Other:","77,117","225,471","99,378","103,129","70,945","86,815","80,017","60,255","296,737","85,344"
