"Label (Grouping)","Arizona!!Estimate","Florida!!Estimate","Georgia!!Estimate","Illinois!!Estimate","Michigan!!Estimate","North Carolina!!Estimate","Ohio!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Virginia!!Estimate"
"Total:","294,658","63,540","53,642","84,713","51,188","116,742","20,594","18,070","227,815","37,018"
"    Male:","141,715","34,104","28,245","42,482","26,765","57,034","9,893","8,810","119,692","17,989"
"        Under 5 years","9,035","1,585","1,628","2,014","1,203","3,178","169","335","6,089","820"
"        5 to 9 years","12,440","2,758","1,669","2,232","1,426","3,343","498","1,128","6,785","997"
"        10 to 14 years","11,617","1,763","3,439","4,436","2,930","3,718","310","605","9,062","1,972"
"        15 to 17 years","8,920","1,455","1,220","2,199","1,587","2,945","509","527","8,025","259"
"        18 and 19 years","4,644","597","837","1,398","648","1,985","387","144","3,208","800"
"        20 to 24 years","11,187","2,069","3,392","3,373","1,953","4,708","514","904","9,333","1,484"
"        25 to 29 years","11,337","1,854","1,725","2,368","1,734","4,168","920","679","9,822","1,784"
"        30 to 34 years","11,890","2,419","1,863","2,924","2,949","4,314","855","749","10,199","1,491"
"        35 to 44 years","18,792","6,109","4,228","8,441","3,393","7,243","1,098","1,147","20,024","2,812"
"        45 to 54 years","15,980","6,856","4,834","6,278","4,179","7,943","1,024","818","15,449","2,323"
"        55 to 64 years","14,348","3,853","2,007","3,949","2,401","6,661","2,173","1,017","12,161","1,898"
"        65 to 74 years","7,245","2,035","866","1,553","1,589","4,799","994","602","6,699","858"
"        75 to 84 years","3,619","659","431","1,036","596","1,750","326","155","2,401","309"
"        85 years and over","661","92","106","281","177","279","116","0","435","182"
"    Female:","152,943","29,436","25,397","42,231","24,423","59,708","10,701","9,260","108,123","19,029"
"        Under 5 years","10,137","2,601","2,149","1,862","1,176","3,683","621","145","5,368","1,115"
"        5 to 9 years","12,405","817","1,401","3,896","1,485","3,565","489","382","7,310","1,095"
"        10 to 14 years","12,531","1,460","2,619","2,502","1,691","4,027","654","571","10,039","1,356"
"        15 to 17 years","7,583","1,436","2,187","3,308","1,112","2,332","615","542","5,395","1,033"
"        18 and 19 years","4,079","1,278","1,359","1,673","275","1,809","366","369","3,030","1,155"
"        20 to 24 years","11,422","1,751","2,120","3,541","1,609","4,735","641","675","8,058","2,143"
"        25 to 29 years","11,349","2,063","923","2,593","1,572","4,368","542","485","8,344","1,315"
"        30 to 34 years","11,869","2,034","2,231","2,395","1,721","4,000","730","945","8,699","1,329"
"        35 to 44 years","21,485","5,878","2,839","6,696","3,423","9,465","1,044","815","15,932","3,989"
"        45 to 54 years","17,778","4,191","4,121","6,171","4,012","6,991","1,596","940","17,125","1,498"
"        55 to 64 years","16,163","3,108","2,170","4,231","2,858","7,277","1,727","1,757","8,582","2,217"
"        65 to 74 years","10,248","1,886","933","1,637","2,589","4,237","912","974","5,937","302"
"        75 to 84 years","4,275","789","254","1,405","755","2,703","655","519","3,317","324"
"        85 years and over","1,619","144","91","321","145","516","109","141","987","158"
