"Label (Grouping)","Arizona!!Estimate","Florida!!Estimate","Georgia!!Estimate","Illinois!!Estimate","Michigan!!Estimate","North Carolina!!Estimate","Ohio!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Virginia!!Estimate"
"Total:","245,285","620,260","465,880","728,531","322,255","325,011","283,555","118,920","1,550,868","586,231"
"    Male:","114,734","286,465","221,410","353,524","156,919","156,120","136,028","55,293","753,056","274,525"
"        Under 5 years","5,693","12,627","11,256","18,774","7,931","8,906","7,627","2,965","44,386","13,844"
"        5 to 9 years","5,525","18,862","14,781","20,171","10,158","8,881","9,592","3,534","52,468","16,123"
"        10 to 14 years","6,394","18,840","14,543","20,268","8,190","13,074","8,808","3,996","50,334","18,247"
"        15 to 17 years","3,734","10,227","10,464","12,623","6,095","6,024","3,829","1,720","30,153","10,761"
"        18 and 19 years","3,723","6,133","6,365","8,730","5,640","4,477","4,066","2,375","19,685","8,835"
"        20 to 24 years","7,737","18,119","14,648","24,137","12,727","11,895","9,848","3,037","44,370","17,956"
"        25 to 29 years","10,422","17,985","16,346","26,646","13,257","10,539","10,964","5,240","52,946","19,747"
"        30 to 34 years","10,064","21,001","15,979","31,768","14,641","13,996","14,184","3,307","63,307","21,289"
"        35 to 44 years","19,392","44,833","39,158","60,069","25,403","29,623","24,393","11,218","135,803","46,119"
"        45 to 54 years","17,739","44,515","33,100","50,422","22,737","23,929","18,400","7,316","112,068","42,657"
"        55 to 64 years","12,149","32,725","22,859","35,444","16,142","13,502","11,300","5,405","74,329","29,158"
"        65 to 74 years","7,762","25,328","15,317","28,131","8,317","7,173","9,039","3,487","47,980","18,670"
"        75 to 84 years","3,256","12,547","4,109","14,040","4,593","3,671","3,384","1,221","20,806","8,351"
"        85 years and over","1,144","2,723","2,485","2,301","1,088","430","594","472","4,421","2,768"
"    Female:","130,551","333,795","244,470","375,007","165,336","168,891","147,527","63,627","797,812","311,706"
"        Under 5 years","5,957","12,503","12,329","17,504","8,191","8,441","6,340","2,623","43,811","13,645"
"        5 to 9 years","8,138","12,247","16,546","18,647","7,886","11,495","9,441","4,295","43,877","16,785"
"        10 to 14 years","5,992","18,830","14,127","20,909","9,045","10,558","8,311","2,785","52,536","15,956"
"        15 to 17 years","4,210","11,281","9,737","12,615","6,289","6,724","5,580","2,121","29,628","11,704"
"        18 and 19 years","2,865","6,961","6,977","7,693","6,298","3,865","3,770","2,584","16,404","8,100"
"        20 to 24 years","7,234","18,833","14,642","23,479","12,882","11,254","11,937","4,496","46,298","17,982"
"        25 to 29 years","8,619","19,926","15,870","27,643","13,474","13,211","12,266","5,667","57,302","22,480"
"        30 to 34 years","10,875","23,427","20,927","32,292","13,878","14,937","13,615","6,301","71,375","24,695"
"        35 to 44 years","23,773","54,732","43,283","64,159","28,507","30,419","29,155","10,703","144,923","55,029"
"        45 to 54 years","19,974","54,083","36,325","52,437","24,570","25,308","19,475","8,334","118,464","48,245"
"        55 to 64 years","14,325","42,974","25,487","40,983","16,043","16,592","12,712","6,797","80,788","35,715"
"        65 to 74 years","11,621","35,899","18,083","34,255","10,681","10,282","8,955","4,214","59,492","25,637"
"        75 to 84 years","5,564","17,417","7,219","15,977","6,217","4,508","4,461","2,480","26,274","12,266"
"        85 years and over","1,404","4,682","2,918","6,414","1,375","1,297","1,509","227","6,640","3,467"
