"Label (Grouping)","Arizona!!Estimate","Florida!!Estimate","Georgia!!Estimate","Illinois!!Estimate","Michigan!!Estimate","North Carolina!!Estimate","Ohio!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Virginia!!Estimate"
"Total:","2,817,723","8,565,329","4,001,109","4,991,641","4,051,798","4,179,632","4,832,922","2,770,395","10,796,247","3,331,461"
"    Householder under 25 years:","128,376","230,737","160,136","179,566","160,559","176,627","201,952","119,026","530,049","121,134"
"        Less than $10,000","13,603","37,907","22,554","31,941","23,552","31,793","26,844","19,410","84,058","18,031"
"        $10,000 to $14,999","6,050","10,568","8,352","12,965","11,182","8,868","10,286","6,360","28,995","9,032"
"        $15,000 to $19,999","5,631","11,871","8,000","12,791","10,509","11,605","13,510","6,502","29,889","4,225"
"        $20,000 to $24,999","9,033","13,135","9,430","11,748","12,202","12,437","16,604","9,475","39,159","7,706"
"        $25,000 to $29,999","8,104","15,259","15,087","10,696","11,022","11,823","13,705","8,040","33,981","7,928"
"        $30,000 to $34,999","7,662","16,976","11,365","12,407","10,262","11,025","14,261","7,968","35,398","7,264"
"        $35,000 to $39,999","8,662","12,317","9,497","8,082","11,743","12,899","14,204","8,623","33,919","5,558"
"        $40,000 to $44,999","7,280","13,780","8,503","7,944","9,621","7,250","11,357","7,153","31,900","6,948"
"        $45,000 to $49,999","8,472","12,392","7,108","6,596","7,060","7,431","8,669","5,731","31,092","5,568"
"        $50,000 to $59,999","14,439","23,627","14,070","13,457","12,915","15,922","19,025","11,846","49,377","12,273"
"        $60,000 to $74,999","13,117","26,301","17,808","17,991","16,580","16,694","20,173","10,528","48,108","13,445"
"        $75,000 to $99,999","12,912","17,114","16,435","16,084","14,352","16,958","19,436","10,764","45,011","10,337"
"        $100,000 to $124,999","6,765","10,153","4,848","7,060","4,771","6,456","9,045","4,060","22,289","5,873"
"        $125,000 to $149,999","2,663","3,854","2,713","3,906","1,783","2,582","2,464","661","7,204","2,406"
"        $150,000 to $199,999","2,284","3,147","3,114","3,405","2,627","2,281","1,449","669","6,700","2,900"
"        $200,000 or more","1,699","2,336","1,252","2,493","378","603","920","1,236","2,969","1,640"
"    Householder 25 to 44 years:","906,459","2,477,652","1,369,519","1,671,363","1,233,386","1,332,698","1,527,328","899,300","4,057,366","1,109,870"
"        Less than $10,000","42,221","129,828","78,340","89,818","70,857","70,866","90,463","53,076","197,874","46,173"
"        $10,000 to $14,999","18,925","55,059","36,580","36,649","30,838","36,218","48,212","21,331","96,931","19,052"
"        $15,000 to $19,999","17,457","66,344","35,623","37,356","30,412","32,127","41,351","22,249","101,047","23,626"
"        $20,000 to $24,999","24,690","84,234","47,593","46,088","43,502","47,285","48,441","31,746","138,077","27,657"
"        $25,000 to $29,999","24,251","98,877","44,701","45,419","41,203","47,463","51,019","31,783","145,736","30,838"
"        $30,000 to $34,999","37,830","107,974","60,960","58,709","50,723","55,873","62,610","42,106","179,408","34,507"
"        $35,000 to $39,999","34,875","97,492","54,882","55,783","51,233","54,466","63,230","43,601","163,653","32,974"
"        $40,000 to $44,999","37,367","117,556","59,483","60,998","52,397","58,925","67,907","46,989","164,522","35,508"
"        $45,000 to $49,999","37,184","101,008","47,228","58,294","42,337","52,777","56,261","29,834","145,062","34,460"
"        $50,000 to $59,999","70,923","216,694","114,056","117,768","101,774","107,945","119,760","74,683","322,350","75,803"
"        $60,000 to $74,999","98,773","284,910","155,216","171,679","136,291","154,863","166,790","106,581","442,642","109,538"
"        $75,000 to $99,999","145,275","359,071","194,670","246,279","187,063","192,070","228,272","139,346","550,728","155,625"
"        $100,000 to $124,999","110,072","259,836","136,380","195,805","138,571","139,236","165,687","95,286","441,979","131,613"
"        $125,000 to $149,999","69,591","162,486","97,004","125,491","88,233","88,742","113,802","54,919","300,493","97,324"
"        $150,000 to $199,999","70,097","165,740","102,712","150,298","91,690","98,610","110,530","56,361","333,111","116,439"
"        $200,000 or more","66,928","170,543","104,091","174,929","76,262","95,232","92,993","49,409","333,753","138,733"
"    Householder 45 to 64 years:","968,042","3,106,913","1,512,396","1,816,935","1,497,002","1,555,576","1,760,250","1,005,322","3,841,670","1,234,847"
"        Less than $10,000","54,181","188,704","89,505","108,990","93,448","90,581","112,948","64,614","202,145","56,779"
"        $10,000 to $14,999","23,172","92,984","44,455","46,985","53,038","58,535","66,961","39,233","119,758","31,939"
"        $15,000 to $19,999","23,070","87,791","50,322","47,938","44,188","45,107","52,017","35,069","108,043","26,524"
"        $20,000 to $24,999","28,143","104,525","42,397","45,992","46,820","57,424","51,839","34,293","120,085","29,395"
"        $25,000 to $29,999","30,226","105,754","48,343","48,263","44,914","51,069","51,337","36,574","124,380","32,653"
